name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,introduction
GST office,"363X+6PW, Tirumurthy Nagar, T. Nagar, Chennai, Tamil Nadu 600006",,,2,4.5,No,No,No,Government office,,None Found
"Central GST SEVA KENDRA, CHENNAI SOUTH COMMISSIONERATE","Mhu Complex, Behind Periyar Building, Nandanam, 692, Anna Salai, CIT Nagar East, CIT Nagar, Chennai, Tamil Nadu 600035",,044 2433 1177,32,4.6,No,No,No,Central Government Office, Opens 9:15am Mon,None Found
GST Bhawan Canteen,"110, Nungambakkam High Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600034",,,132,4.3,No,No,No,Cafeteria, Opens 9:30am Mon,None Found
GST Bhawan Office of the Principal Chief Commissioner Of GST and Central Excise,"no.26, GST Bhawan, 1, Uthamar Gandhi Rd, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600034",gstchennai.gov.in,044 2833 1010,41,4.2,No,No,No,Central Government Office, Opens 9:15am Mon,None Found
Gst Nilayam,"692, MHU Complex, Behind Periyar Building, Nandanam, Anna Salai, CIT Nagar East, CIT Nagar, Chennai, Tamil Nadu 600035",,,,,No,No,No,Government office, Opens 9am Mon,None Found
Online Tax Filings,"New no 11 Old No 6,Ground Floor, Ramachandran Rd, Pondy Bazaar, T. Nagar, Chennai, Tamil Nadu 600017",onlinetaxfilings.in,078450 03441,295,4.9,No,No,No,Tax consultant, Opens 10am Sat,None Found
Expert Point,"Bhuvaneshwari Complex, 2nd Floor New No.4, Old, 19, Dr Thomas Rd, T. Nagar, Chennai, Tamil Nadu 600017",expertpoint.in,095495 49090,71,4.9,No,No,No,Accounting firm, Opens 9am Sat,None Found
Gst Seva Kendra,"Newry Towers, 12th Main Rd, Anna Nagar, Anna Nagar West, Anna Nagar, Chennai, Tamil Nadu 600040",,,28,4.2,No,No,No,Central Government Office, Opens 9:15am Mon,None Found
"CGST CHENNAI North Commissionerate,Chennai CGST Zone","26, 1, Uthamar Gandhi Rd, Tirumurthy Nagar, Thousand Lights, Chennai, Tamil Nadu 600006",,,1,5.0,No,No,No,Government office,,None Found
"CGST Thiruvottiyur Division,Royapuram Division,Chennai North CGST Commissionerate, Chennai CGST Zone","459,Anna Salai,Anna Nagar, Teynampet, Chennai, Tamil Nadu 600018",,,1,4.0,No,No,No,Government office, Opens 9am Mon,None Found
