name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,introduction
Albert and Associates chartered accountants,"18 Padmanaban Street, North Usman Road, T. Nagar, Chennai, Tamil Nadu 600017",,099401 44229,6,5.0,No,No,No,Accounting firm, Closes 7pm,None Found
Anand & ponnappan chartered accountants,"46B, S Boag Rd, Venkata Krishna Nagar, T. Nagar, Chennai, Tamil Nadu 600017",aandpca.com,044 2434 3251,10,4.9,No,No,No,Auditor, Closes 6pm,None Found
M.C.Ranganathan & Co,"2nd Floor, SUCONS Sivagami Square, 147/1, Gopathi Narayanaswami Chetty Rd, T. Nagar, Chennai, Tamil Nadu 600017",camcr.in,098400 26987,10,4.4,No,No,No,Accounting firm, Closes 6pm,None Found
B. Purushottam & Co.,"No. 59, Vijaya Raghava Rd, T. Nagar, Chennai, Tamil Nadu 600017",bpcca.in,044 2815 2515,54,5.0,No,No,No,Chartered accountant, Closes 7pm,None Found
Expert Point,"Bhuvaneshwari Complex, 2nd Floor New No.4, Old, 19, Dr Thomas Rd, T. Nagar, Chennai, Tamil Nadu 600017",expertpoint.in,095495 49090,71,4.9,No,No,No,Accounting firm, Closes 7pm,None Found
RVKS AND ASSOCIATES,"147, First Floor, Raj Paris Trimeni Towers, Gopathi Narayanaswami Chetty Rd, T. Nagar, Chennai, Tamil Nadu 600017",rvkassociates.com,044 2815 0540,14,4.6,No,No,No,Certified public accountant, Closes 6pm,None Found
NSR & Co Chartered Accountants,"Old No:11 New No:33, Sivaji St, T Nagar, T. Nagar, Chennai, Tamil Nadu 600017",,,3,4.7,No,No,No,Chartered accountant, Closes 7:30pm,None Found
"MOHAN AND VENKATARAMAN, Chartered Accountants","10/11, Kuppuswamy St, T. Nagar, Chennai, Tamil Nadu 600017",auditmove.com,044 2815 5066,6,4.8,No,No,No,Certified public accountant, Closes 6pm,None Found
CNGSN & Associates,"No. 20, Agasthyar Manor, Raja St, Pondy Bazaar, T. Nagar, Chennai, Tamil Nadu 600017",cngsn.com,044 2431 1480,15,3.5,No,No,No,Chartered accountant, Closes 6pm,None Found
"R C A S and Associates LLP, Chartered Accountants","I Floor, No, 30, Raja Bather St, T. Nagar, Chennai, Tamil Nadu 600017",,099622 40712,17,4.4,No,No,No,Certified public accountant, Closes 6pm,None Found
Narayana Aiyar & Co,"6/32, T. Nagar, Chennai, Tamil Nadu 600017",,,2,5.0,No,No,No,Auditor, Closes 7pm,None Found
N RAJA ASSOCIATES,"Gopalakrishna Rd, T. Nagar, Chennai, Tamil Nadu 600017",,,4,5.0,No,No,No,Chartered accountant, Closes 6pm,None Found
Eshwar & Co Chartered Accountants,"No. 18, FF5, 1st Floor, Lokesh Towers New no 37, Old, Kodambakkam High Rd, nearby Hotel Palm Grove, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034",eshwarandco.com,078937 47200,192,5.0,No,No,No,Auditor, Closes 8pm,None Found
K.S. JAGANNATHAN & CO.,"7, Old. 11, 2nd Floor, Guru Krupa, New No, 2nd St, Bharathy Nagar, T. Nagar, Chennai, Tamil Nadu 600017",ksj.co.in,044 2834 3425,21,5.0,No,No,No,Chartered accountant, Closes 7pm,None Found
Sundar Srini & Sridhar,"9, Rajamannar St, T. Nagar, Chennai, Tamil Nadu 600017",sssindia.com,044 2815 8528,7,4.6,No,No,No,Chartered accountant, Closes 6am Sat,None Found
