name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
"Bharat Petroleum, Petrol Pump -Ekayars","27, Venkatanarayana Rd, T. Nagar, Chennai, Tamil Nadu 600017",,,1299.0,4.3,Petrol Pump, Closes 10:30pm
Hindustan Petroleum Corporation Limited,"32, Sir Thyagaraya Rd, T. Nagar, Chennai, Tamil Nadu 600017",petrolpump.hpretail.in,098400 23740,331.0,4.1,Petrol Pump, Closes 10pm
IndianOil,"109, Thyagaraya Road, Tharapakkam, T. Nagar, Chennai, Tamil Nadu 600116",locator.iocl.com,094431 55551,98.0,4.1,Petrol Pump, Closes 11:30pm
Hindustan Petroleum Corporation Limited,"No 72, Pondy Bazaar, Chennai, Tamil Nadu 600017",petrolpump.hpretail.in,098400 23740,1.0,1.0,Petrol Pump, Closes 10pm
A & P filling Station,"66, Thirumalai Pillai Rd, T. Nagar, Chennai, Tamil Nadu 600017",,022 2286 3900,51.0,3.2,Petrol Pump,
Hindustan Petroleum Corporation Limited,"483, Anna Salai, CIT Nagar East, Nandanam, Chennai, Tamil Nadu 600035",petrolpump.hpretail.in,098411 75500,275.0,3.8,Petrol Pump,
Hindustan Petroleum Corporation Limited,"37, Thirumalai Pillai Rd, Thirumurthy Nagar, Satyamurthy Nagar, T. Nagar, Chennai, Tamil Nadu 600017",petrolpump.hpretail.in,093802 52627,,,Petrol Pump,
IndianOil,"No 109, Sir Thyagaraya Road, T Nagar, Saidapet, Chennai, Tamil Nadu 600017",locator.iocl.com,091766 79924,363.0,3.9,Petrol Pump,
Hindustan Petroleum Retail Outlet @ Super Service Station,"No.529, Anna Salai, T.V.K Colony, Teynampet, Chennai, Tamil Nadu 600018",hindustanpetroleum.com,095660 02888,614.0,4.1,Petrol Pump,
Hindustan Petroleum Corporation Limited,"No 97, NH 34, Kodambakkam High Rd, Chennai, Tamil Nadu 600034",petrolpump.hpretail.in,091766 66042,328.0,4.0,Petrol Pump,
Chintamani Coop - HP,"HPC Dealers NO.72,, Pondy Bazaar, T. Nagar, Chennai, Tamil Nadu 600017",,097899 10066,13.0,3.2,Petrol Pump, Closes 11pm
IndianOil,"No I/1003/122, Lock, 94, Gopathi Narayanaswami Chetty Rd, T. Nagar, Chennai, Tamil Nadu 600017",locator.iocl.com,098419 11000,7.0,3.1,Petrol Pump, Closes 11:30pm
Torrent Gas CNG Station,"26RW+4PX, Anna Salai, T.V.K Colony, Teynampet, Chennai, Tamil Nadu 600018",torrentgas.com,070690 81151,44.0,2.9,Compressed natural gas station,
"Bharat Petroleum, Petrol Pump -Jalphiroj & Co.","STERLING ROAD CHENNAI, Chennai, Tamil Nadu 600034",,,848.0,4.1,Petrol Pump, Closes 10:30pm
Iocl Coco,"109/29, Sir Thyagaraya Rd, opposite Old Nagesh Theatre, T. Nagar, Chennai, Tamil Nadu 600017",,,,,Petrol Pump,
"Bharat Petroleum, Petrol Pump -The Elite Petrol Service","27X3+P6W, Cathedral Rd, beside Bharat petroleum pum, Ellaiamman Colony, Teynampet, Chennai, Tamil Nadu 600006",,,417.0,4.0,Petrol Pump,
Hindustan Petroleum Corporation Limited,"Ground Floor, Anna Salai, CIT Nagar West, Saidapet, Chennai, Tamil Nadu 600018",petrolpump.hpretail.in,098400 43943,810.0,4.2,Petrol Pump,
Vefiincorp,"44/25, T. Nagar, Chennai, Tamil Nadu 600017",,044 4266 9269,,,Petrol Pump,
"Bharat Petroleum, Petrol Pump -Gemini Auto Services","RC Gem, Siruvallur High Rd, Jagannathan Colony, Nungambakkam, Chennai, Tamil Nadu 600034",,,197.0,4.0,Petrol Pump, Closes 10:30pm
Aswini Automobiles (Bharat Petroleum),"Anna Salai, near by Anna Arivalayam, Teynampet, Chennai, Tamil Nadu 600018",,,1.0,2.0,Petrol Pump,
Hindustan Petroleum Corporation Limited,"No E, 1, Anna Nagar 3rd Main Rd, Block E, Annanagar East, Chennai, Tamil Nadu 600102",petrolpump.hpretail.in,098408 43943,641.0,4.1,
"Bharat Petroleum, Petrol Pump -Bp Shanthi Colony-Annanagar","SHANTHI COLONY, CHENNAI, Chennai, Tamil Nadu 600040",,,1238.0,4.2, Closes 10:30pm
Hindustan Petroleum Corporation Limited,"No R21/2, Ambattur Industrial Estate, Welcome Colony, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",petrolpump.hpretail.in,044 2615 3456,1458.0,4.1, Closes 5pm
IndianOil,"P No 1381, Lock No 1172/122 W Extnch, B, Anna Nagar, Chennai, Tamil Nadu 600101",locator.iocl.com,098204 99186,570.0,4.0, Closes 11pm
IndianOil,"H, 2, Anna Nagar 3rd Main Rd, Block H, Arumbakkam, Chennai, Tamil Nadu 600106",locator.iocl.com,094440 14477,378.0,4.0, Closes 11:30pm
Hindustan Petroleum Corporation Limited,"No 6 Harlal, Jawaharlal Nehru Salai, Anna Nagar, Jawa, Chennai, Tamil Nadu 600040",petrolpump.hpretail.in,090424 81113,122.0,3.5,
Veerabadran Enterprises Bharat Petroleum Petrol Pump,"#16, Poonamallee High Road, Koyambedu, Chennai, Tamil Nadu, India, No. 1, School St, Koyambedu, Chennai, Tamil Nadu 600107",bharatpetroleum.in,,414.0,3.8,
